file,источник,position,head_lexical_class,gen_lexical_class,gen_length,gen_referentiality,gender,head,gen,line,Right context,comment
"[О поступлении в вузы // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,школа,милиции,Ну / слышала / мама говорила / что в школу милиции в Чебоксары по-моему / да?,,
"[Разговоры студенток: грубые шутки // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,звезда,миньета,А / я знаю.   Света / звезда миньета.      Ты чего хамишь?,,
"[Разговоры студенток: грубые шутки // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,звезда,миньета,Да обиделась / что я сказала / Света / звезда миньета.,,
"[Разговор по телефону // Из коллекции НКРЯ, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,сорбет,мороженого,А к чаю… у меня есть пачка вафель и сорбет мороженого / но можно и еще чего-нибудь купить.,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,герои,мультиков,Ну это когда они одеваются в героев мультиков.,,
"[Разговоры дома; семейные воспоминания // Из коллекции Ульяновского университета, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,сила,мысли,Лучше потерпи еще минутки две.       сила мысли.   Стою на остановке / думаю: «Хоть бы щас сто шестьдесят восьмая подъехала с местами».,,
"[Разговоры студенток о популярной рок-группе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,система,налогообложения,УКРФ придумал Игос.      Система налогообложения придумана им же.       Э… Правда?,,
"[Беседа с массажисткой // Из материалов Санкт-Петербургского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,вопрос,населения,Как самый любимый вопрос населения это — а что с предыдущим.,,
"[Разговор дома о студенческой конференции и о политике // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,качество,населения,А…      Понятия «качество здоровья» нет.   Качество населения.,,
"[Разговор дома о студенческой конференции и о политике // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,качество,здоровья,Ну / а если здоровье хорошее.        Качество здоровья рассматривают…   Ой / я… я тебе пример / качество населения / я имею в виду.,,
"[Разговор дома за ужином // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,бензонат,натрия,? да //      ага //      для градуса спирт //      так //      концентрированный апельсиновый сок / регулятор кислотности / лимонная кислота / и ароматизатор натуральный апельсиновый / замутнитель / консервант бензонат натрия / краситель е сто десять / е сто два //,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,степень,новизны,Я никак не могу это объяснить / и тем более уж степень новизны я в этом выделить не могу.,,
"[Разговор перед дискотекой // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,суперминистр,образования,"Это ты так думаешь, но наш суперминистр образования так не считает.",,
"[Разговор за ужином с женой // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,день,обрезания,и о тебе тоже позаботиться //      ну / сделай день обрезания //      ну //,,
"[Разговор матери с дочерью по телефону // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,форма,обучения,Ага.      Форма обучения только очная.   Вот.,,
"[Телефонные разговоры матери и дочери-студентки // Из коллекции Ульяновского университета, 2008-2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,метод,обучения,Ну так / мне понравилось / неплохой метод обучения у нее.,,
"[Разговор подруг // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,манера,общения,Есть люди / которые вот могут общаться с другими людьми и не перенимать их манеру общения.,,
"[Домашний разговор // Из коллекции НКРЯ, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,берег,океана,И живут…на дне чуть не сказала… на берегу океана в холодных странах.,,
"[Разговор ульяновских студенток о подготовке к экзаменам // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,теория,организации,А вот такие: Государственное регулирование экономики / теория организации / маркетинг и т.д.,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,проекты,офисов,У меня вот есть несколько отличных проектов офисов.,,
"[Разговоры студенток об учебе и экзаменах // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,начало,пары,Тем более она сама тогда говорила / что после начала пары можете больше не входить.,,
"[О будущей службе // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,область,педагогики,В области истории психологии педагогики  // Блядь с моей темой только!,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,история,педагогики,Как бы вообще за эту неделю я планирую сделать все конспекты а… по семиотике и по… соответственно по истории педагогики.,,
"[Разговоры дома // Из коллекции Ульяновского университета, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,договор,перевозки,Здесь переводить / потом короче… помимо / ну вот насчет договора перевозки… заключать…,,
"[Семейный разговор // Из коллекции НКРЯ, 2005]",домашний разговор-new,right,non_kinship,non_human,one-word,non_definite,,блок,питания,А она что / в блок питания должна вставляться / да?,,
"[Домашний разговор // Из коллекции НКРЯ, 2006]",домашний разговор-new,right,non_kinship,non_human,one-word,non_definite,,перпендикулярность,плоскости,Твоя задача основана на признаке перпендикулярности прямой и плоскости.,,
"[Разговоры подруг // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,сумма,подарка,Я не знаю / в зависимости от суммы подарка.,,
"[О будущей службе // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,ориентации,подростков,Влияние ценностных ориентаций подростков на девиантное поведение,,
"[Разговор при выходе из дома, Москва // практиканты, 2005]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,места,пребывания,№ 1.   Пока они там найдут места пребывания.     № 2.,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,метод,преподавания,Ты знаешь / вот мне нравится то / что вот ее метод преподавания.,,
"[Разговоры в университете // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,должность,профессора,Кафедра это означало должность профессора и у него ассистенты.,,
"[Разговоры в университете // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,место,профессора,Потом было два с половиной… то есть через шесть лет ему предложили место профессора.,,
"[Разговор подруг // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,вечер,пятницы,Ну знаешь для вечера пятницы / я думаю нормально //,,
"[Разговор в студенческой компании в общежитии // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,график,работы,А-а-а… вот / оно что / вышлите график работы вай… вая-я-я…,,
"[Разговор о будущем, Москва // Воротникова, 2005]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,опыт,работы,… Что всем от тебя какого- никакого опыта работы захочется…,,
"[Разговор с приятелем об учебе // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,источник,работы,Мы же пишем курсовую по геодезии.      Ты начал писать уже курсовую?      Ну/ мы как бы пишем все/ а заполняем аа определённый там журнал/ то есть наш источник работы/ и после того/ как мы его заполним/ аа мы будем проводить уже/ я так понимаю/ свою работу.,,
"[Беседа с массажисткой // Из материалов Санкт-Петербургского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,директор,ресторана,Ну она… она работала директором ресторана / а сейчас она буфетчица в театре.,,
"[Разговоры ульяновских студентов // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,передоз,ржача,Я б пошла и в окно вышла сразу от передоза ржача.,,
"[Разговор сына-студента с матерью по телефону // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,гормоны,роста,Но не гормонами роста и гранулами/ от которых у них даже хребет лопается.,,
"[Разговор о древних цивилизациях // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,бог,света,а! что-то есть…  /     Бог света или что /      Бог света / есть такой //,,
"[Разговор о древних цивилизациях // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,бог,света,Бог света // эпос есть // в его изложении / тоже прикольно //,,
"[Разговор о древних цивилизациях // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,бог,света,Бог света или что /      Бог света / есть такой //      Бог света // эпос есть // в его изложении / тоже прикольно //,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,структура,связей,Тоже вот / «…рабочего макета с уточнением зонирования / структуры / связей / привязка к контексту».,,
"[О будущей службе // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,часть,связи,Там часть связи  там там ведь  нет нет морская часть ВМФ // Там как получается полк идет вот авиационный а за ним за 18 км ээ часть ВМФ идет единственная там на Кольском полуострове которая принимает,,
"[Разговор студенток после занятий // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,параметр,скромности,Я же самая лучшая в мире!      ага / особенно по параметру скромности!      Ладно / давай расходиться по домам…,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,списки,слов,И там прям очень много.   Там прям списки слов.   Но смысл в том / что там только примеры.,,
"[Разговор за завтраком с женой // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,начальник,смены,(н-н) да / сделал (:) / сохранил / и вот // в… всё это уже моя работа // а после этого / я (э-э) насчёт / у Серёги / возник вопрос / он говорит / двенадцать три / я говорю нет / двенадцать и четыре // ну / или как-то вот так // я хотел уточнить задание / везде / у Ирины ищу на столе / у н… начальника смены порылся // тем более там сидел / оперативный журнал писал // я не могу  найти зараза / и всё // ии потом / ей (?,,
"[Разговор за завтраком с женой // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,начальник,смены,)… в курсе и начальник смены / и всё / потом я / всюду (?,,
"[Разговор за завтраком с женой // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,начальник,смены,а / это ты как бы делал с (:) начальником цеха / смены?,,
"[Разговор за завтраком с женой // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,начальник,смены,а листок этот / оон… у начальника смены на столе / он валяется уже неделю // там (…,,
"[Разговор за завтраком с женой // Из материалов корпуса «Один речевой день», подготовленного группой А.С.Асиновского, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,m,начальник,смены,ну я сам делал / но / (м) говорю / я сменщику сказал / при начальнике / смены // (э-э-э)  / меня меняющему / тоже это сказали // проблема была с заданием // задание / этот листочек / он куда-то пропал // я говорю ищите / он должен быть / в цехе // никуда он деться не мог // а этот листочек / взял / и то (?,,
"[Разговоры дома; семейные воспоминания // Из коллекции Ульяновского университета, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,вихрь,снежинок,Мы посмотрели там на стену – там как будто вихрь снежинок  .,,
"[Разговор в офисе  // Из материалов Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,m,бухгалтер,современности,Я хотел вам сказать / вы лучший бухгалтер современности!,,
"[Разговор студенток о зимних развлечениях // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,цвет,солнца,Они такие красивые.   Маленькие.    Цвет солнца?    Конечно.   Это же / это / счастье / радость.,,
"[Разговор студентки с приятельницей // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,компания,соседей,Ну не у нас / у нас компания соседей.,,
"[Разговор студенток о зимних развлечениях // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,история,социологии,Вот задание по русскому / например / задание по истории социологии.,,
"[Домашние разговоры  // Из материалов Ульяновского университета, 2006]",домашний разговор-new,right,non_kinship,non_human,one-word,non_definite,,номера,страниц,Файл / печать / указываю номера страниц / ОК / и все равно не печатает.,,
"[Разговоры дома, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,рецепт,творожника,"Шла речь о том, что где-то в газете напечатан хороший рецепт творожника",,
"[Домашний разговор // Из коллекции НКРЯ, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,участки,тела,Я вот почитала / мы там обхохотались / с этой инструкцией… Что существуют разные участки тела / которые показывают разную температуру.,,
"[Телефонный разговор студенток об учебе // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,результат,тестов,Сначала вычисляются тесты/ результат тестов/ а потом уже добавляются результаты за экзамены.,,
"[Разговоры на рынке // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,юбилей,тишины,Юбилей тишины. Скока она там уже бездействует как будто бы.,,
"[Домашний разговор // Из коллекции НКРЯ, 2006]",домашний разговор-new,right,non_kinship,non_human,one-word,non_definite,,свойства,треугольников,Весь вечер придется ботанить.   Я учил про общие свойства треугольников.      А зачем нам тут треугольники / у нас тут совсем другое.,,
"[Разговор двух женщин, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,принадлежности,туалета,И ты понимаешь ли / значит / ну выгородка значит ширмами / стоит стул / ну какие-то у неё принадлежности там туалета / причём она в такой полуночной рубашке / потому что… в основном это в общем её покинул любовник.,,
"[Телефонный разговор // Из материалов Санкт-Петербургского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,луковицы,тюльпанов,Я привезу ей луковицы тюльпанов и все.   не ест / сажает.,,
"[О глянцевых журналах  // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,академия,уверенности,«Rexona» / Академия уверенности / выпускница Академии уверенности Ольга Ключевская / она чем-то на девочку одну похожа / «На высшем уровне» / «Зачем тратить жизнь на погоню за некими ускользающими идеалами?»,,
"[О работе в прокуратуре // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,сборище,уголовников,Ну / в последнее время это не армия стала / а какое-то сборище уголовников или по крайней мере с девиантным поведением.,,
"[Разговор при знакомстве // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,названия,улиц,А в Димитровграде тоже есть улица Куйбышева.   Центральная улица города / вот так.      Да названия улиц везде одинаковые.,,
"[О компьютере // Из материалов Ульяновского университета, 2006]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,панель,управления,А он предложил только один список и эту стандартную ерунду.      Нет / а зачем в панель управления?   Ну куда ты?!,,
"[Разговоры студенток об учебе и экзаменах // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,факультет,физкультуры,Это называется / что она на факультете физкультуры учится / что приходится по моргам ходить.,,
"[Разговор студенток об экзамене // Из коллекции НКРЯ, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,экономика,фирмы,Ну / вообще / вот я экономику фирмы читаю…,,
"[Разговор студенток об экзамене // Из коллекции НКРЯ, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,экономика,фирмы,Ну и как / чё сложнее сдавать было… э-э-э… экономику фирмы или ИБК?,,
"[Ульяновские женские разговоры // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,лицо,фирмы,"Будем надеяться!   А то всё-таки «лицо фирмы».      Ну, значит, будет фиолетовое лицо!",,
"[Разговоры дома // Из коллекции Ульяновского университета, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,договор,франшизы,У неё договор франшизы-то москвичи подписали давно уже.,,
"[Домашние разговоры, Москва // Русская разговорная речь: Тексты / Академия наук СССР, Институт русского языка /Авт.-сост. Г. А. Баринова, Е. А. Земская, Л. А. Капанадзе, Е. В. Красильникова, Е. Н. Ширяев. Отв. ред. Е. А. Земская, Л. А. Капанадзе. - М.: Наука, 1978, 1971-1977]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,сорты,хлеба,Дальше пропущен длинный разговор о разных сортах хлеба,,
"[Телефонные разговоры московских студентов // Из коллекции НКРЯ, 2008]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,комбинация,цифр,Да-да.      Набрала прям его комбинацию цифр.      Вот набрала просто.,,
"[Разговор студентки и школьницы об учебе // Из коллекции Ульяновского университета, 2009]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,техника,чтения,Вот на нашем уроке сидишь / знаешь / вообще неинтересно: весь урок училка говорит / мы вот так сидим / слушаем ее / она стихи читает.      Технику чтения отрабатывает.      да.,,
"[Телефонный разговор подруг // Из коллекции НКРЯ, 2015]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,f,политика,экономики,Вот так.       что сегодня за пары были?      Политика там экономики.,,
"[Телефонные разговоры об учебе // Из коллекции Ульяновского университета, 2007]",домашний разговор-old,right,non_kinship,non_human,one-word,non_definite,,история,языка,Я лучше завтра с родителями на шашлыки на дачу поеду.   Я зато сегодня историю языка напечатала.   А ты завтра не поедешь на дачу?,,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,водитель,автобуса,водителем,", группы ты водишь туристические, не знаю, ну говорю, ну предс = а не знаю",
2019-Zvenigorod-ea1976,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,крыло,бухгалтерии,"У меня было не = ну, как сказать, я знала там одно крыло бухгалтерии там или что - то.",,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,опыт,вождения,"Мы ехали по всем пробкам, а у неё опыт - то","был маленький, ну, в общем, она стукнулась потом…",
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,музей,десерта,Сейчас там музей,.,
2019-Zvenigorod-om1973,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,факультет,дефектологии,Факультет,. Специализация - сурдопедагогика.,
2019-Zvenigorod-om1973,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,факультет,дефектологии,Факультет,",",
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,чувство,жалости,"Да, какая - то чувство какой - то","появилось о том, что как - то",
2019-Zvenigorod-ea1976,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,отдел,закупок,Есть отдел,.,
2019-Zvenigorod-om1973,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,фабрика,игрушек,И ее сюда распредлили. Она работала на фабрике,.,
2019-Zvenigorod-om1973,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,фабрика,игрушек,на фабрику,.,
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,курс,института,"Вот, а после техникума можно было на третий курс",", опять же, без экзамена.",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,уровень,интересов,"на детских площадках, ну ясно, да, как бы уже немножко такое... Уровень","немножко другой, и я не могу там",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,уровень,класса,"Ну, ей нравилось, и тяжело было, всё - таки там была спецшкола английская, здесь же у них не было спецшкол. Вероника занималась как бы, но всё равно её уровня недостаточно было, ну то есть у неё был где - то уровень седьмого",", а она пришла в девятый, вот так.",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,список,классов,То есть мы шли не в списке,"на экзамены, на экзамены она шла, а отдельно.",
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,слой,краски,Вот такой слой,.,
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,слой,краски,"Он говорит: "" Вот такой слой",",",
2019-Zvenigorod-va1940,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,фабрика,культтоваров,"Как позна = ну, потом я же ещё это, фабрика",работал тоже.,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,круг,мамочек,"Я, получается, вы = выпадаю из круга","вот этих там двадцатилетних - тридцатилетних, потому что мне с ними, конечно, там делать нечего",
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,учитель,математики,Учитель,", а математику почему - то я должна объяснять",
2019-Zvenigorod-tk1949_2,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,здание,милиции,когда открывали новое здание,", тоже мы присутсвовали.",
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,уроки,музыки,"И говорит, как проводить уроки","там, это просто...",
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,цвета,облачений,четыре цвета,:,
2019-Zvenigorod-ya1968,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,министр,обороны,Новый министр,.,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,уровень,общения,"То есть да, вот этот уровень",он в принципе моих детей вот он тоже не устраивает,
2019-Zvenigorod-li1950,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,управление,организации,"Вот она по (?) сам = (?)... там, киевской дороге было... Есть поселок... он и сейчас сущесвует, поселок Крекшино (?), и вот там было это управление","(?), да.",
2019-Zvenigorod-vg1945,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,день,отгула,днем нам давали день,", и нас...",
2019-Zvenigorod-om1973,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,начальник,отдела,Дочка начальника,.,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,физиология,пальцев,физиология,.,
2019-Zvenigorod-va1940,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,сорта,пионов,"Цветов много, там пять или шесть сортов только этих,",". Пять - шесть сортов, разных.",
2019-Zvenigorod-ea1976,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,нюансы,работы,"И я попала в редакцию, мне девочки, Таня, Татьяна говорит: "" Пойдёшь, я тебя ну, там, покажу нюансы",", которые",
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,настроение,радости,Он ушел в жутком настроении,. Прям вот посл =. Особенно с этими дождевиками еще.,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,берег,реки,Да На берегу,",",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,начальник,санатория,а должность начальника,"сюда, в Звенигород, и мы с семьей переезжаем.",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,девятый [класс],спецшколы,"И ей, конечно же, этого, девятый всё - таки",- программа серьёзная уже была. Девятый ей был трудно.,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,программа,спецшколы,"Ну как, я тащила вот это по этой программе",.,
2019-Zvenigorod-li1950,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,начальник,участка,"Я не его место, нет, он начальником","был, просто...",
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,прелести,учебы,ощутить все прелести,,
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,филиал,фирмы,Ну мужу предложили возглавить там филиал,", он согласился, мы и поехали туда.",
2019-Zvenigorod-oa1975,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,сила,характера,"Хочется, конечно, её развивать, а там уже как, вот знаешь, как силы",её хватит.,
2019-Zvenigorod-vi1972,звенигород,right,non_kinship,non_human,one-word,non_definite,известно,город,храмов,"Но здесь уже, так как Звенигород - город",",",
